Date,Open,High,Low,Close,Adj Close,Volume
2023-07-13,8.920000076293945,9.239999771118164,8.770000457763672,9.15999984741211,9.15999984741211,43361100
2023-07-14,9.220000267028809,9.449999809265137,8.9399995803833,9.079999923706055,9.079999923706055,38350800
2023-07-17,9.039999961853027,9.805000305175781,8.989999771118164,9.479999542236328,9.479999542236328,48308500
2023-07-18,9.550000190734863,9.739999771118164,9.432999610900879,9.569999694824219,9.569999694824219,33895900
2023-07-19,9.760000228881836,10.130000114440918,9.645000457763672,9.850000381469727,9.850000381469727,50051500
2023-07-20,9.630000114440918,9.989999771118164,9.369999885559082,9.569999694824219,9.569999694824219,41587700
2023-07-21,9.675000190734863,9.699999809265137,9.260000228881836,9.430000305175781,9.430000305175781,34444800
2023-07-24,9.4399995803833,9.5600004196167,9.295000076293945,9.449999809265137,9.449999809265137,26643500
2023-07-25,9.399999618530273,9.779999732971191,9.3100004196167,9.329999923706055,9.329999923706055,38811100
2023-07-26,9.260000228881836,9.539999961853027,9.210000038146973,9.520000457763672,9.520000457763672,34922300
2023-07-27,9.710000038146973,9.729999542236328,8.9399995803833,9.09000015258789,9.09000015258789,45958200
2023-07-28,9.359999656677246,9.600000381469727,9.15999984741211,9.550000190734863,9.550000190734863,58205300
2023-07-31,10.390000343322754,11.699999809265137,10.300000190734863,11.449999809265137,11.449999809265137,210958900
2023-08-01,11.0600004196167,11.100000381469727,10.3100004196167,10.350000381469727,10.350000381469727,88881800
2023-08-02,10.119999885559082,10.279999732971191,9.720000267028809,10.079999923706055,10.079999923706055,62865900
2023-08-03,9.920000076293945,10.170000076293945,9.859999656677246,10.050000190734863,10.050000190734863,37651500
2023-08-04,10.079999923706055,10.100000381469727,9.470000267028809,9.5,9.5,42370200
2023-08-07,9.5,9.569999694824219,9.15999984741211,9.390000343322754,9.390000343322754,31682000
2023-08-08,9.029999732971191,9.449999809265137,9.010000228881836,9.3100004196167,9.3100004196167,28127800
2023-08-09,9.270000457763672,9.270000457763672,8.800000190734863,8.989999771118164,8.989999771118164,43368300
2023-08-10,9.09000015258789,9.239999771118164,8.720000267028809,8.720000267028809,8.720000267028809,37657800
2023-08-11,8.529999732971191,8.699999809265137,8.420000076293945,8.649999618530273,8.649999618530273,26833600
2023-08-14,8.520000457763672,8.710000038146973,8.359999656677246,8.680000305175781,8.680000305175781,27735500
2023-08-15,8.600000381469727,8.600000381469727,8.34000015258789,8.369999885559082,8.369999885559082,23709300
2023-08-16,8.229999542236328,8.430000305175781,8.210000038146973,8.260000228881836,8.260000228881836,23398900
2023-08-17,8.350000381469727,8.40999984741211,8.079999923706055,8.109999656677246,8.109999656677246,29582400
2023-08-18,7.920000076293945,8.289999961853027,7.889999866485596,8.220000267028809,8.220000267028809,27173100
2023-08-21,8.25,8.329999923706055,8.079999923706055,8.289999961853027,8.289999961853027,22676600
2023-08-22,8.399999618530273,8.470000267028809,8.109999656677246,8.149999618530273,8.149999618530273,23164700
2023-08-23,8.079999923706055,8.470000267028809,8.0600004196167,8.430000305175781,8.430000305175781,21855700
2023-08-24,8.479999542236328,8.5,8.079999923706055,8.119999885559082,8.119999885559082,26080600
2023-08-25,8.119999885559082,8.430000305175781,8.0600004196167,8.289999961853027,8.289999961853027,24163700
2023-08-28,8.380000114440918,8.420000076293945,8.170000076293945,8.229999542236328,8.229999542236328,17488700
2023-08-29,8.180000305175781,8.579999923706055,8.15999984741211,8.460000038146973,8.460000038146973,24487400
